"Temp","Ozone"
67,41
72,36
74,12
62,18
56,NA
66,28
65,23
59,19
61,8
69,NA
74,7
69,16
66,11
68,14
58,18
64,14
66,34
57,6
68,30
62,11
59,1
73,11
61,4
61,32
57,NA
58,NA
57,NA
67,23
81,45
79,115
76,37
78,NA
74,NA
67,NA
84,NA
85,NA
79,NA
82,29
87,NA
90,71
87,39
93,NA
92,NA
82,23
80,NA
79,NA
77,21
72,37
65,20
73,12
76,13
77,NA
76,NA
76,NA
76,NA
75,NA
78,NA
73,NA
80,NA
77,NA
83,NA
84,135
85,49
81,32
84,NA
83,64
83,40
88,77
92,97
92,97
89,85
82,NA
73,10
81,27
91,NA
80,7
81,48
82,35
84,61
87,79
85,63
74,16
81,NA
82,NA
86,80
85,108
82,20
86,52
88,82
86,50
83,64
81,59
81,39
81,9
82,16
86,78
85,35
87,66
89,122
90,89
90,110
92,NA
86,NA
86,44
82,28
80,65
79,NA
77,22
79,59
76,23
78,31
78,44
77,21
72,9
75,NA
79,45
81,168
86,73
88,NA
97,76
94,118
96,84
94,85
91,96
92,78
93,73
93,91
87,47
84,32
80,20
78,23
75,21
73,24
81,44
76,21
77,28
71,9
71,13
78,46
67,18
76,13
68,24
82,16
64,13
71,23
81,36
69,7
63,14
70,30
77,NA
75,14
76,18
68,20
